,state,zip,returnsCount,returnsSingleCount,returnsJointCount,returnsHOHCount,totalIncome,standardDeductionReturnsCount,childDeductionCount
7139,IN,47203,420.0,5760.0,8920.0,24950.0,3050.0,33071.0,156.0
7140,IN,47220,70.0,1400.0,1660.0,4880.0,450.0,3852.0,33.0
7141,IN,47223,0.0,370.0,460.0,1230.0,50.0,0.0,10.0
7142,IN,47224,0.0,150.0,150.0,530.0,0.0,0.0,0.0
7143,IN,47227,0.0,390.0,520.0,1380.0,70.0,0.0,10.0
7144,IN,47229,50.0,810.0,1100.0,2980.0,150.0,783.0,26.0
7145,IN,47230,0.0,550.0,640.0,1720.0,90.0,0.0,16.0
7146,IN,47231,0.0,270.0,360.0,950.0,40.0,0.0,11.0
7147,IN,47232,40.0,580.0,860.0,2370.0,160.0,1339.0,13.0
7148,IN,47234,20.0,370.0,450.0,1330.0,110.0,859.0,8.0
7149,IN,47235,40.0,410.0,630.0,1730.0,90.0,842.0,15.0
7150,IN,47240,520.0,5740.0,7260.0,19930.0,2090.0,14754.0,174.0
7151,IN,47243,60.0,1300.0,1790.0,4630.0,280.0,2431.0,47.0
7152,IN,47244,0.0,160.0,230.0,650.0,60.0,0.0,5.0
7153,IN,47246,40.0,980.0,1400.0,3980.0,290.0,2018.0,35.0
7154,IN,47250,190.0,6120.0,7290.0,18850.0,1580.0,14768.0,167.0
7155,IN,47260,20.0,420.0,570.0,1550.0,70.0,0.0,15.0
7156,IN,47264,20.0,320.0,390.0,1150.0,40.0,0.0,8.0
7157,IN,47265,230.0,4960.0,6940.0,17780.0,870.0,7323.0,160.0
7158,IN,47270,0.0,170.0,220.0,650.0,30.0,0.0,5.0
7159,IN,47272,0.0,470.0,590.0,1730.0,110.0,0.0,13.0
7160,IN,47273,20.0,510.0,670.0,1830.0,120.0,728.0,15.0
7161,IN,47274,510.0,7780.0,10750.0,29960.0,2310.0,19516.0,244.0
7162,IN,47281,0.0,430.0,460.0,1330.0,100.0,700.0,11.0
7163,IN,47283,40.0,1020.0,1160.0,3310.0,220.0,917.0,27.0
7164,IN,47302,270.0,4770.0,9080.0,21110.0,740.0,4450.0,218.0
7165,IN,47303,230.0,3580.0,7360.0,16140.0,820.0,7179.0,152.0
7166,IN,47304,400.0,6220.0,9810.0,24850.0,2930.0,28783.0,197.0
7167,IN,47305,40.0,460.0,1100.0,2330.0,90.0,0.0,27.0
7168,IN,47320,70.0,950.0,1380.0,3640.0,270.0,1833.0,30.0
7169,IN,47325,0.0,180.0,200.0,550.0,0.0,0.0,7.0
7170,IN,47326,40.0,620.0,340.0,2150.0,100.0,0.0,12.0
7171,IN,47327,50.0,1090.0,1270.0,3700.0,280.0,1028.0,32.0
7172,IN,47330,70.0,1180.0,1780.0,5030.0,360.0,3669.0,45.0
7173,IN,47331,250.0,5480.0,6940.0,18760.0,1140.0,7345.0,159.0
7174,IN,47334,40.0,680.0,1090.0,2900.0,220.0,1406.0,21.0
7175,IN,47336,40.0,840.0,1210.0,3020.0,150.0,0.0,36.0
7176,IN,47338,30.0,550.0,920.0,2460.0,150.0,1209.0,28.0
7177,IN,47339,0.0,170.0,200.0,640.0,40.0,0.0,5.0
7178,IN,47340,30.0,730.0,1010.0,2610.0,180.0,932.0,23.0
7179,IN,47341,30.0,510.0,670.0,2070.0,120.0,513.0,18.0
7180,IN,47342,40.0,610.0,820.0,2350.0,170.0,1673.0,15.0
7181,IN,47345,0.0,310.0,390.0,1280.0,110.0,0.0,12.0
7182,IN,47346,40.0,970.0,1150.0,3500.0,310.0,1206.0,28.0
7183,IN,47348,110.0,2230.0,3120.0,8310.0,640.0,2549.0,85.0
7184,IN,47352,0.0,250.0,320.0,840.0,60.0,0.0,8.0
7185,IN,47353,50.0,1550.0,1650.0,4970.0,370.0,2204.0,38.0
7186,IN,47354,0.0,260.0,330.0,990.0,70.0,0.0,7.0
7187,IN,47355,20.0,730.0,800.0,2330.0,120.0,522.0,25.0
7188,IN,47356,80.0,1330.0,2000.0,5420.0,370.0,3024.0,30.0
7189,IN,47357,0.0,320.0,350.0,1040.0,80.0,0.0,5.0
7190,IN,47358,0.0,250.0,270.0,800.0,40.0,0.0,7.0
7191,IN,47359,20.0,910.0,920.0,2470.0,220.0,0.0,26.0
7192,IN,47360,20.0,350.0,480.0,1390.0,90.0,597.0,10.0
7193,IN,47362,290.0,6070.0,9240.0,23260.0,1510.0,12057.0,193.0
7194,IN,47368,30.0,680.0,910.0,2350.0,130.0,464.0,23.0
7195,IN,47369,0.0,350.0,350.0,1020.0,70.0,0.0,12.0
7196,IN,47371,200.0,3340.0,3620.0,10670.0,750.0,3703.0,129.0
7197,IN,47373,30.0,540.0,710.0,1840.0,90.0,0.0,24.0
7198,IN,47374,560.0,8420.0,14450.0,36210.0,2420.0,25554.0,384.0
7199,IN,47380,0.0,510.0,580.0,1760.0,90.0,0.0,24.0
